cityid,provid
110100,110000
120100,120000
130100,130000
140100,140000
150100,150000
210100,210000
220100,220000
230100,230000
310100,310000
320100,320000
330100,330000
340100,340000
350100,350000
360100,360000
370100,370000
410100,410000
420100,420000
430100,430000
440100,440000
450100,450000
460100,460000
500100,500000
510100,510000
520100,520000
530100,530000
540100,540000
610100,610000
620100,620000
630100,630000
640100,640000
650100,650000
